Nome do Arquivo;Diretório;Tipo;Tamanho (bytes);Data Criação;Última Modificação;Caminho Completo
.env;;Outro;443;2025-01-14 15:21:20;2025-01-27 17:45:12;.env
.gitignore;;Outro;643;2025-01-15 08:04:05;2025-01-15 16:21:41;.gitignore
listar_tabelas.py;;Python;6377;2025-02-02 06:56:49;2025-02-02 07:57:52;listar_tabelas.py
manage.py;;Python;599;2025-01-14 10:50:25;2025-01-15 08:22:25;manage.py
requirements.txt;;Texto;545;2025-01-14 15:20:30;2025-02-02 08:09:24;requirements.txt
.gitignore;.idea;Outro;50;2025-01-14 10:47:18;2025-01-14 10:47:18;.idea\.gitignore
bookstore.iml;.idea;Outro;408;2025-01-14 10:47:18;2025-02-10 09:37:21;.idea\bookstore.iml
misc.xml;.idea;Outro;308;2025-01-14 11:06:20;2025-02-10 09:37:21;.idea\misc.xml
modules.xml;.idea;Outro;277;2025-01-14 10:47:18;2025-01-14 10:47:18;.idea\modules.xml
vcs.xml;.idea;Outro;185;2025-01-15 08:22:50;2025-01-15 08:22:50;.idea\vcs.xml
workspace.xml;.idea;Outro;8981;2025-01-14 10:53:46;2025-02-12 08:12:42;.idea\workspace.xml
Project_Default.xml;.idea\inspectionProfiles;Outro;3438;2025-01-14 10:47:17;2025-01-14 10:47:17;.idea\inspectionProfiles\Project_Default.xml
profiles_settings.xml;.idea\inspectionProfiles;Outro;174;2025-01-14 10:47:18;2025-01-14 10:47:18;.idea\inspectionProfiles\profiles_settings.xml
__init__.py;cgbookstore;Python;0;2025-01-14 11:05:01;2025-01-14 11:05:01;cgbookstore\__init__.py
db.sqlite3;cgbookstore;Outro;1732608;2025-01-16 16:47:49;2025-02-12 08:27:29;cgbookstore\db.sqlite3
__init__.py;cgbookstore\apps;Python;0;2025-01-14 11:04:53;2025-01-14 11:04:53;cgbookstore\apps\__init__.py
__init__.py;cgbookstore\apps\core;Python;0;2025-01-14 10:52:45;2025-01-14 10:52:45;cgbookstore\apps\core\__init__.py
admin.py;cgbookstore\apps\core;Python;25408;2025-01-14 10:52:45;2025-02-11 11:21:18;cgbookstore\apps\core\admin.py
apps.py;cgbookstore\apps\core;Python;1127;2025-01-14 10:52:45;2025-02-05 16:04:49;cgbookstore\apps\core\apps.py
forms.py;cgbookstore\apps\core;Python;9748;2025-01-15 13:23:37;2025-02-05 16:06:07;cgbookstore\apps\core\forms.py
signals.py;cgbookstore\apps\core;Python;1766;2025-01-16 10:31:34;2025-02-05 16:07:18;cgbookstore\apps\core\signals.py
tests.py;cgbookstore\apps\core;Python;63;2025-01-14 10:52:45;2025-01-14 10:52:45;cgbookstore\apps\core\tests.py
urls.py;cgbookstore\apps\core;Python;4064;2025-01-14 11:20:06;2025-02-05 16:09:38;cgbookstore\apps\core\urls.py
__init__.py;cgbookstore\apps\core\management;Python;0;2025-01-15 21:53:04;2025-01-15 21:53:04;cgbookstore\apps\core\management\__init__.py
__init__.py;cgbookstore\apps\core\management\commands;Python;0;2025-01-15 21:53:19;2025-01-15 21:53:19;cgbookstore\apps\core\management\commands\__init__.py
create_default_shelves.py;cgbookstore\apps\core\management\commands;Python;1813;2025-02-11 09:45:51;2025-02-11 09:47:55;cgbookstore\apps\core\management\commands\create_default_shelves.py
create_profiles.py;cgbookstore\apps\core\management\commands;Python;635;2025-01-15 21:53:35;2025-01-15 21:54:59;cgbookstore\apps\core\management\commands\create_profiles.py
generate_project_structure.py;cgbookstore\apps\core\management\commands;Python;6706;2025-01-17 07:48:25;2025-01-17 09:17:07;cgbookstore\apps\core\management\commands\generate_project_structure.py
generate_tables.py;cgbookstore\apps\core\management\commands;Python;5984;2025-01-17 07:41:15;2025-01-17 07:41:47;cgbookstore\apps\core\management\commands\generate_tables.py
__init__.py;cgbookstore\apps\core\models;Python;373;2025-01-14 11:10:08;2025-02-03 14:11:17;cgbookstore\apps\core\models\__init__.py
banner.py;cgbookstore\apps\core\models;Python;1978;2025-01-28 12:46:21;2025-01-28 12:47:37;cgbookstore\apps\core\models\banner.py
book.py;cgbookstore\apps\core\models;Python;9958;2025-01-16 09:25:34;2025-02-03 09:35:29;cgbookstore\apps\core\models\book.py
home_content.py;cgbookstore\apps\core\models;Python;8281;2025-02-10 10:05:52;2025-02-11 11:20:58;cgbookstore\apps\core\models\home_content.py
profile.py;cgbookstore\apps\core\models;Python;1548;2025-01-15 21:24:55;2025-01-28 09:37:58;cgbookstore\apps\core\models\profile.py
user.py;cgbookstore\apps\core\models;Python;1272;2025-01-14 10:52:45;2025-01-16 16:40:05;cgbookstore\apps\core\models\user.py
__init__.py;cgbookstore\apps\core\recommendations;Python;0;2025-02-01 11:37:57;2025-02-01 11:37:57;cgbookstore\apps\core\recommendations\__init__.py
engine.py;cgbookstore\apps\core\recommendations;Python;3133;2025-02-01 11:37:58;2025-02-01 14:35:35;cgbookstore\apps\core\recommendations\engine.py
urls.py;cgbookstore\apps\core\recommendations;Python;302;2025-02-04 17:50:55;2025-02-04 17:51:21;cgbookstore\apps\core\recommendations\urls.py
__init__.py;cgbookstore\apps\core\recommendations\analytics;Python;0;2025-02-03 10:03:27;2025-02-03 10:03:27;cgbookstore\apps\core\recommendations\analytics\__init__.py
apps.py;cgbookstore\apps\core\recommendations\analytics;Python;268;2025-02-04 08:00:23;2025-02-04 08:04:47;cgbookstore\apps\core\recommendations\analytics\apps.py
endpoints.py;cgbookstore\apps\core\recommendations\analytics;Python;2546;2025-02-03 10:08:15;2025-02-03 10:08:54;cgbookstore\apps\core\recommendations\analytics\endpoints.py
models.py;cgbookstore\apps\core\recommendations\analytics;Python;1819;2025-02-03 10:03:39;2025-02-04 08:05:10;cgbookstore\apps\core\recommendations\analytics\models.py
serializers.py;cgbookstore\apps\core\recommendations\analytics;Python;929;2025-02-03 10:09:11;2025-02-03 10:09:19;cgbookstore\apps\core\recommendations\analytics\serializers.py
tracker.py;cgbookstore\apps\core\recommendations\analytics;Python;5888;2025-02-03 10:05:40;2025-02-04 08:41:25;cgbookstore\apps\core\recommendations\analytics\tracker.py
urls.py;cgbookstore\apps\core\recommendations\analytics;Python;469;2025-02-03 10:09:56;2025-02-03 14:37:04;cgbookstore\apps\core\recommendations\analytics\urls.py
__init__.py;cgbookstore\apps\core\recommendations\analytics\admin_dashboard;Python;0;2025-02-03 14:30:58;2025-02-03 14:30:58;cgbookstore\apps\core\recommendations\analytics\admin_dashboard\__init__.py
